Rank,Name,Birthday,Region,Category,Best Place,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Тихонова Анна,1997,Калининградская область,женщины,1,335,0,295,0,729,900,1000,3259
2,Матвеева Анна,1985,Калининградская область,женщины,1,383,531,0,0,567,810,700,2991
3,Позняк Анна,1985,Москва,женщины,1,0,0,295,729,405,720,500,2649
4,Рудик Майи,1984,Москва,женщины,2,430,0,472,656,0,270,300,2128
5,Второва Елена,1989,Москва,женщины,1,0,0,590,0,810,0,0,1400
6,Вяткина Анна,1997,Сахалинская область,женщины,3,0,0,0,0,0,450,800,1250
7,Степанец Мария,1989,Санкт-Петербург,женщины,3,0,0,0,583,0,0,500,1083
8,Галимова Чулпан,1987,Татарстан,женщины,3,0,0,0,365,648,0,0,1013
9,Чимытова Кристина,1984,Камчатский край,женщины,4,0,0,0,510,405,0,0,915
10,Бланк Мария,1992,Калининградская область,женщины,2,0,0,0,0,0,0,900,900
11,Куллен Оксана,1980,Сахалинская область,женщины,7,0,0,0,365,405,0,0,770
12,Силютина Алина,1996,Приморский край,женщины,7,0,0,0,0,243,450,0,693
13,Тихолаз Ульяна,1993,Санкт-Петербург,женщины,5,0,0,0,0,405,270,0,675
14,Кузнецова Галина,1984,Приморский край,женщины,4,0,0,0,0,0,630,0,630
15,Пыжова Алена,1988,Санкт-Петербург,женщины,10,0,0,0,0,0,270,300,570
16,Шевчук Елена,1983,Москва,женщины,2,0,0,531,0,0,0,0,531
17,Силивончик Анастасия,1994,Приморский край,женщины,7,0,0,0,0,0,0,500,500
18,Смирнова Вероника,1995,Санкт-Петербург,женщины,8,0,0,0,0,0,0,500,500
19,Кособукина Ирина,1987,Москва,женщины,1,478,0,0,0,0,0,0,478
20,Тиманина Анжелика,1989,Москва,женщины,2,0,478,0,0,0,0,0,478
21,Дыба Екатерина,1990,Камчатский край,женщины,9,0,0,0,219,243,0,0,462
22,Климова Наталья,2000,Калининградская область,женщины,6,0,0,0,0,0,450,0,450
23,Архангельская Екатерина,1998,Москва,женщины,8,0,0,0,0,0,450,0,450
24,Хабкина?,1985,Московская область,женщины,3,0,425,0,0,0,0,0,425
25,Вострикова Екатерина,1991,Москва,женщины,4,0,0,413,0,0,0,0,413
26,Дудова Татьяна,1988,Московская область,женщины,4,0,372,0,0,0,0,0,372
27,Климова Мария,1989,Мурманская область,женщины,11,0,0,0,0,0,270,100,370
28,Кузьмина Полина,1993,Санкт-Петербург,женщины,14,0,0,0,0,0,270,100,370
29,Зикратова Ела,1988,Камчатский край,женщины,6,0,0,0,365,0,0,0,365
30,Туринцева Илона,1995,Москва,женщины,8,0,0,0,365,0,0,0,365
31,Морозова Александра,1993,Санкт-Петербург,женщины,9,0,0,0,0,0,0,300,300
32,Кабаргина Кира,1987,Приморский край,женщины,11,0,0,0,0,0,0,300,300
33,Горанько Эвелина,2007,Камчатский край,женщины,12,0,0,0,0,0,0,300,300
34,Данькова Елизавета,2000,Калининградская область,женщины,14,0,0,0,0,0,0,300,300
35,Шабалина Людмила,1991,Санкт-Петербург,женщины,15,0,0,0,0,0,0,300,300
36,Александровская Анна,1994,Мурманская область,женщины,16,0,0,0,0,0,0,300,300
37,Бороденкова Екатерина,1989,Калининградская область,женщины,13,0,0,0,0,0,270,0,270
38,Ходырева Ольга,1986,Приморский край,женщины,9,0,0,0,0,243,0,0,243
39,Зикратова Ёла,1984,Камчатский край,женщины,12,0,0,0,0,243,0,0,243
40,Кутьина Анна,1995,Москва,женщины,10,0,0,0,219,0,0,0,219
41,Дударева Наталья,1990,Алтайский край,женщины,11,0,0,0,219,0,0,0,219
42,Ковалева Анастасия,1983,Приморский край,женщины,18,0,0,0,0,0,0,100,100
43,Ясинская Анна,1990,Приморский край,женщины,19,0,0,0,0,0,0,100,100
44,Герасимова Екатерина,1986,Калининградская область,женщины,20,0,0,0,0,0,0,100,100
45,Горба Мария,1990,Санкт-Петербург,женщины,21,0,0,0,0,0,0,100,100
46,Филинова Галина,1984,Приморский край,женщины,22,0,0,0,0,0,0,100,100
47,Якубовская Нина,1989,Приморский край,женщины,23,0,0,0,0,0,0,100,100
48,Коровина Виктория,1987,Приморский край,женщины,24,0,0,0,0,0,0,100,100
49,Петрова Анна,1982,Приморский край,женщины,26,0,0,0,0,0,0,100,100
